,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v(control),0.351041665533,0.128227949321,0.101093308415,0.265280784401,0.351771859015,0.434863930737,0.608969335153,0.00324129090444
v(empathy),0.575508032328,0.133297712049,0.320967457218,0.484986551275,0.573309794602,0.666033628978,0.843694549987,0.00431511180872
v(emprecip),0.577541826379,0.136201760249,0.306318242111,0.48767468154,0.575792157401,0.670245730763,0.841768716235,0.00372734066048
v(reciprocity),0.466713043715,0.13546884708,0.21079476366,0.375798041447,0.462187282547,0.558213351017,0.735329362598,0.00422984941707
v_std,0.6730003595,0.063159125356,0.556977348067,0.629354902075,0.670868867743,0.714019042626,0.807731712814,0.00254425707491
v_subj(control).0,0.119251611761,0.25453593894,-0.368496417635,-0.0565277952389,0.117090010354,0.287238340983,0.618026515077,0.00703235750397
v_subj(control).1,0.524199131893,0.269254352705,-0.0017284644201,0.341180447248,0.529309679013,0.703442982929,1.06007711068,0.00765743092739
v_subj(control).2,0.0462940487414,0.233123995363,-0.412713694366,-0.115426468581,0.0458544556881,0.204231315411,0.501019168196,0.00612585259402
v_subj(control).3,0.0766664683298,0.208436606202,-0.328153477277,-0.067351035825,0.0729349266004,0.214023074239,0.505313669276,0.00503587562008
v_subj(control).4,1.03802184676,0.23842371217,0.566062318647,0.876950855849,1.03807281167,1.19599385158,1.51822397199,0.00651364573845
v_subj(control).5,0.753512009821,0.236888725353,0.308086018887,0.591813274498,0.754117684393,0.90609446685,1.22537763831,0.00651324730726
v_subj(control).6,0.126419068412,0.252684490815,-0.379184098631,-0.0461700203545,0.123044052261,0.297959215053,0.641194079114,0.006791275564
v_subj(control).7,0.00804071809448,0.274763601498,-0.524426710717,-0.174536616228,0.0118142984239,0.194969721083,0.556561125898,0.0066076187185
v_subj(control).8,-0.197165379575,0.261607254787,-0.697489130051,-0.372997200629,-0.199765797657,-0.0212246702748,0.296115030264,0.0073641996046
v_subj(control).9,0.226396357286,0.221897248985,-0.197455007571,0.0737797714056,0.225638560835,0.380019271769,0.659785909412,0.00702829975255
v_subj(control).10,0.515623871916,0.235202045381,0.080136037642,0.35613365604,0.509734390682,0.672285389838,0.996966838494,0.00723788300211
v_subj(control).11,-0.16280262854,0.248280975526,-0.639998905611,-0.336542170681,-0.159687628887,0.0103750507961,0.304327831887,0.0075281985448
v_subj(control).12,0.0052334720191,0.18300307776,-0.34679204205,-0.117760160816,0.00572189690994,0.129158873247,0.369569558305,0.00443929090705
v_subj(control).13,1.37043669657,0.245718732993,0.89360304984,1.2039243156,1.37167748337,1.53076179096,1.87367437959,0.00691047824326
v_subj(control).14,1.00089013808,0.225398775529,0.574885665241,0.845823345386,0.993955929966,1.14849047682,1.46274514185,0.00593253838579
v_subj(control).15,0.946773232596,0.265346609289,0.44747655564,0.766497579427,0.941776824344,1.1272434883,1.47552879464,0.007262433785
v_subj(control).16,0.159612673628,0.220099030688,-0.258458291568,0.00991907317504,0.159768805033,0.304515001191,0.597648317724,0.00579646372462
v_subj(control).17,-0.520364080301,0.357573150198,-1.21709189501,-0.751608855859,-0.521806070785,-0.284636637999,0.166822650281,0.00925853305739
v_subj(control).18,0.640829259366,0.198610111111,0.254382629123,0.511244452386,0.638265461311,0.772553797157,1.04106881451,0.00496152616694
v_subj(control).19,0.124919072494,0.185758297686,-0.234616078849,-0.00197423655223,0.12547127751,0.256339036779,0.482008568111,0.00430363183777
v_subj(control).20,-0.103721833435,0.18440800312,-0.449590798098,-0.229759784883,-0.106295494167,0.022433965711,0.265198632701,0.00482318975031
v_subj(control).21,0.636527407303,0.252009872901,0.141889575443,0.462531011187,0.635456754101,0.80910708899,1.13473585216,0.00634156222352
v_subj(control).22,-0.423497773845,0.216580830012,-0.857040436623,-0.564592108804,-0.426616309347,-0.282014823858,0.00532573345714,0.00549214839984
v_subj(control).23,1.32449367403,0.327520391922,0.701888670526,1.10176420316,1.31438274806,1.53739418451,2.00675697889,0.00878793121024
v_subj(control).24,-0.20182913227,0.18500214206,-0.570547928432,-0.324857966694,-0.200126099898,-0.0815833099751,0.168932603422,0.00361254766028
v_subj(control).25,-0.0354906906705,0.217570966017,-0.465756164687,-0.180573477728,-0.0323011545139,0.112911703203,0.382633202901,0.00464335408798
v_subj(control).26,0.335150131649,0.2686074346,-0.164264556633,0.148868761334,0.328924161637,0.514307216682,0.876176001466,0.0072546075047
